source,target,value
inj_homicide_other,N36,0.0175456
inj_falls,N36,0.0289998
inj_drowning,N36,0.0577194
inj_homicide_knife,N36,0.0001877
inj_mech_gun,N36,0.0042717
inj_homicide_gun,N36,4.88E-06
inj_mech_suffocate,N36,2.513033
inj_animal_nonven,N36,0.000931
inj_othunintent,N36,0.2345013
inj_trans_road_other,N36,0.0057376
inj_fires,N36,0.1061978
inj_foreign_other,N36,0.1385475
inj_suicide,N36,0.0679138
inj_trans_road_pedest,N36,0.0115624
inj_poisoning,N36,0.038058
inj_mech_other,N36,0.0024533
inj_animal_venom,N36,0.0023
inj_trans_road_2wheel,N36,0.0106542
inj_trans_road_4wheel,N36,0.0095219
inj_trans_other,N36,0.0515132
inj_homicide_gun,N37,0.0026834
inj_trans_other,N37,0.1179849
inj_mech_other,N37,2.524172
inj_trans_road_pedal,N37,0.8901591
inj_trans_road_2wheel,N37,0.5409204
inj_animal_nonven,N37,0.0241467
inj_foreign_aspiration,N37,0.0057636
inj_trans_road_other,N37,0.0908872
inj_trans_road_4wheel,N37,2.28077
inj_poisoning,N37,0.0061911
inj_homicide_other,N37,0.018428
inj_mech_gun,N37,0.014806
inj_homicide_knife,N37,0.0073276
inj_falls,N37,1.383113
inj_othunintent,N37,0.6008888
inj_suicide,N37,0.0178922
inj_foreign_eye,N37,0.036198
inj_foreign_other,N37,0.0794769
inj_trans_road_pedest,N37,1.984765
inj_fires,N37,0.1349627
inj_drowning,N37,0.0334908
inj_mech_suffocate,N37,0.030285
inj_animal_venom,N37,0.0043771
inj_trans_road_other,N38,0.0290443
inj_trans_road_pedest,N38,0.8462104
inj_homicide_other,N38,0.1971331
inj_fires,N38,0.1501915
inj_animal_nonven,N38,0.0409212
inj_foreign_other,N38,0.2232801
inj_foreign_aspiration,N38,0.0721305
inj_trans_road_4wheel,N38,1.484554
inj_falls,N38,1.118831
inj_suicide,N38,0.0437152
inj_drowning,N38,0.0692165
inj_trans_road_2wheel,N38,0.2696043
inj_mech_suffocate,N38,0.0057944
inj_trans_road_pedal,N38,0.2041949
inj_homicide_knife,N38,0.0704421
inj_animal_venom,N38,0.0154478
inj_mech_gun,N38,0.2517322
inj_trans_other,N38,1.553314
inj_poisoning,N38,0.0173545
inj_homicide_gun,N38,0.0823295
inj_mech_other,N38,0.7779385
inj_foreign_eye,N38,0.0429738
inj_othunintent,N38,5.549954
inj_trans_road_other,N39,0.066083
inj_animal_venom,N39,0.3873564
inj_mech_other,N39,105.797
inj_trans_road_2wheel,N39,1.448761
inj_mech_suffocate,N39,2.412891
inj_fires,N39,56.1365
inj_mech_gun,N39,9.728599
inj_homicide_knife,N39,0.585052
inj_suicide,N39,0.0489801
inj_animal_nonven,N39,1.035079
inj_othunintent,N39,149.1273
inj_poisoning,N39,0.074576
inj_foreign_other,N39,1.60989
inj_foreign_aspiration,N39,0.1628571
inj_falls,N39,25.31293
inj_trans_road_pedal,N39,2.896085
inj_drowning,N39,0.0669368
inj_trans_other,N39,3.165879
inj_trans_road_pedest,N39,3.222445
inj_trans_road_4wheel,N39,16.52933
inj_homicide_gun,N39,0.2008293
inj_homicide_other,N39,6.215107
inj_foreign_eye,N39,52.12413
inj_homicide_knife,N4,0.0092884
inj_poisoning,N4,0.0077501
inj_trans_road_2wheel,N4,0.3136328
inj_homicide_gun,N4,0.0015353
inj_animal_nonven,N4,0.0081931
inj_foreign_aspiration,N4,0.0266801
inj_trans_road_pedal,N4,0.1049301
inj_animal_venom,N4,0.007752
inj_drowning,N4,0.1012822
inj_foreign_other,N4,0.0156835
inj_othunintent,N4,0.24442
inj_trans_road_pedest,N4,1.32802
inj_mech_suffocate,N4,0.0046366
inj_trans_other,N4,0.3087658
inj_trans_road_4wheel,N4,0.2329501
inj_mech_gun,N4,0.0045641
inj_trans_road_other,N4,0.0234399
inj_falls,N4,0.8435182
inj_fires,N4,0.110012
inj_suicide,N4,0.0545504
inj_homicide_other,N4,0.0373539
inj_mech_other,N4,0.1654602
inj_foreign_eye,N4,0.0003896
inj_trans_other,N40,22.49772
inj_homicide_gun,N40,6.77589
inj_trans_road_2wheel,N40,119.673
inj_mech_gun,N40,13.77446
inj_suicide,N40,2.018145
inj_trans_road_pedest,N40,147.9998
inj_poisoning,N40,0.4464546
inj_foreign_aspiration,N40,0.2644741
inj_falls,N40,476.9648
inj_mech_other,N40,442.6456
inj_mech_suffocate,N40,20.06172
inj_trans_road_pedal,N40,181.4816
inj_animal_nonven,N40,402.3459
inj_homicide_other,N40,55.68926
inj_fires,N40,24.24493
inj_foreign_eye,N40,0.4534537
inj_trans_road_other,N40,3.595136
inj_othunintent,N40,468.8133
inj_animal_venom,N40,8.164352
inj_trans_road_4wheel,N40,494.3056
